# Renewables.ninja Solar PV (Point API) - 48.152, 17.109 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Bratislava, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Bratislava"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""48.1516988"""," ""lon"": ""17.1093063"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
1/1/2015 0:00,1/1/2015 1:00,0,0,0,-7.039,0,,,,,,,,,,,,,
1/1/2015 1:00,1/1/2015 2:00,0,0,0,-6.751,0,,,,,,,,,,,,,
1/1/2015 2:00,1/1/2015 3:00,0,0,0,-6.222,0,,,,,,,,,,,,,
1/1/2015 3:00,1/1/2015 4:00,0,0,0,-5.628,0,,,,,,,,,,,,,
1/1/2015 4:00,1/1/2015 5:00,0,0,0,-5.135,0,,,,,,,,,,,,,
1/1/2015 5:00,1/1/2015 6:00,0,0,0,-4.77,0,,,,,,,,,,,,,
1/1/2015 6:00,1/1/2015 7:00,0,0,0,-4.311,0,,,,,,,,,,,,,
1/1/2015 7:00,1/1/2015 8:00,0.042,0.04,0.017,-3.433,0,,,,,,,,,,,,,
1/1/2015 8:00,1/1/2015 9:00,0.074,0.029,0.063,-2.371,0,,,,,,,,,,,,,
1/1/2015 9:00,1/1/2015 10:00,0.058,0.012,0.063,-1.207,0,,,,,,,,,,,,,
1/1/2015 10:00,1/1/2015 11:00,0.043,0,0.06,0.214,0,,,,,,,,,,,,,
1/1/2015 11:00,1/1/2015 12:00,0.052,0,0.07,1.376,0,,,,,,,,,,,,,
1/1/2015 12:00,1/1/2015 13:00,0.066,0.001,0.084,2.011,0,,,,,,,,,,,,,
1/1/2015 13:00,1/1/2015 14:00,0.033,0.001,0.049,1.888,0,,,,,,,,,,,,,
1/1/2015 14:00,1/1/2015 15:00,0.03,0.012,0.034,1.237,0,,,,,,,,,,,,,
1/1/2015 15:00,1/1/2015 16:00,0,0.002,0.003,0.741,0,,,,,,,,,,,,,
1/1/2015 16:00,1/1/2015 17:00,0,0,0,0.295,0,,,,,,,,,,,,,
1/1/2015 17:00,1/1/2015 18:00,0,0,0,-0.017,0,,,,,,,,,,,,,
1/1/2015 18:00,1/1/2015 19:00,0,0,0,-0.127,0,,,,,,,,,,,,,
1/1/2015 19:00,1/1/2015 20:00,0,0,0,-0.527,0,,,,,,,,,,,,,
1/1/2015 20:00,1/1/2015 21:00,0,0,0,-0.981,0,,,,,,,,,,,,,
